State,Date,New Cases,7-Day Moving Avg,Historic Cases
United States,Oct 30 2020,98054,80500,0
United States,Oct 29 2020,91705,78375,0
United States,Oct 28 2020,85428,75994,0
United States,Oct 27 2020,75828,73870,0
United States,Oct 26 2020,70171,71463,0
United States,Oct 25 2020,65932,70322,0
United States,Oct 24 2020,76388,67902,0
United States,Oct 23 2020,83175,64750,0
United States,Oct 22 2020,75037,62806,0
United States,Oct 21 2020,70561,61142,0
United States,Oct 20 2020,58977,59378,0
United States,Oct 19 2020,62184,58212,0
United States,Oct 18 2020,48992,56439,0
United States,Oct 17 2020,54325,55861,0
United States,Oct 16 2020,69571,55802,0
United States,Oct 15 2020,63389,54306,0
United States,Oct 14 2020,58211,53202,0
United States,Oct 13 2020,50814,52715,0
United States,Oct 12 2020,49774,51453,0
United States,Oct 11 2020,44944,50286,0
United States,Oct 10 2020,53915,48959,0
United States,Oct  9 2020,59095,48077,0
United States,Oct  8 2020,55662,46944,0
United States,Oct  7 2020,54803,45777,0
United States,Oct  6 2020,41980,44600,0
United States,Oct  5 2020,41608,44167,0
United States,Oct  4 2020,35655,43817,0
United States,Oct  3 2020,47741,43778,0
United States,Oct  2 2020,51160,43066,0
United States,Oct  1 2020,47492,42932,0
United States,Sep 30 2020,46570,42778,0
United States,Sep 29 2020,38943,42260,0
United States,Sep 28 2020,39159,43856,0
United States,Sep 27 2020,35387,44209,0
United States,Sep 26 2020,42757,44051,0
United States,Sep 25 2020,50221,43997,0
United States,Sep 24 2020,46409,43706,0
United States,Sep 23 2020,42949,43561,0
United States,Sep 22 2020,50110,43842,0
United States,Sep 21 2020,41636,42002,0
United States,Sep 20 2020,34276,41020,0
United States,Sep 19 2020,42380,40823,0
United States,Sep 18 2020,48182,40488,0
United States,Sep 17 2020,45395,39976,0
United States,Sep 16 2020,44921,39077,0
United States,Sep 15 2020,37230,37740,0
United States,Sep 14 2020,34758,36510,0
United States,Sep 13 2020,32897,35057,0
United States,Sep 12 2020,40036,35213,0
United States,Sep 11 2020,44600,35394,0
United States,Sep 10 2020,39099,36350,0
United States,Sep  9 2020,35564,37276,0
United States,Sep  8 2020,28617,38308,0
United States,Sep  7 2020,24589,39769,0
United States,Sep  6 2020,33988,41908,0
United States,Sep  5 2020,41303,42286,0
United States,Sep  4 2020,51295,42246,0
United States,Sep  3 2020,45576,41623,0
United States,Sep  2 2020,42792,41859,1705
United States,Sep  1 2020,38841,42531,0
United States,Aug 31 2020,39567,42830,0
United States,Aug 30 2020,36632,42324,0
United States,Aug 29 2020,41019,42388,0
United States,Aug 28 2020,46939,42505,0
United States,Aug 27 2020,47227,42616,0
United States,Aug 26 2020,47498,42592,0
United States,Aug 25 2020,40928,42562,0
United States,Aug 24 2020,36026,42675,0
United States,Aug 23 2020,37081,43502,0
United States,Aug 22 2020,41841,44193,0
United States,Aug 21 2020,47713,45581,0
United States,Aug 20 2020,47058,46800,0
United States,Aug 19 2020,47291,47528,0
United States,Aug 18 2020,41716,48707,0
United States,Aug 17 2020,41818,51203,0
United States,Aug 16 2020,41920,51536,0
United States,Aug 15 2020,51557,52170,0
United States,Aug 14 2020,56242,52245,0
United States,Aug 13 2020,52153,53088,0
United States,Aug 12 2020,55544,53518,0
United States,Aug 11 2020,59189,53618,0
United States,Aug 10 2020,44149,52580,0
United States,Aug  9 2020,46359,52745,0
United States,Aug  8 2020,52083,53473,0
United States,Aug  7 2020,62142,54093,0
United States,Aug  6 2020,55160,55047,0
United States,Aug  5 2020,56250,56759,0
United States,Aug  4 2020,51918,58028,0
United States,Aug  3 2020,45304,59067,0
United States,Aug  2 2020,51460,60204,0
United States,Aug  1 2020,56417,61282,0
United States,Jul 31 2020,68822,61949,0
United States,Jul 30 2020,67145,62676,0
United States,Jul 29 2020,65130,63664,0
United States,Jul 28 2020,59193,64740,0
United States,Jul 27 2020,53265,65331,0
United States,Jul 26 2020,59006,66152,0
United States,Jul 25 2020,61083,66283,0
United States,Jul 24 2020,73914,67242,0
United States,Jul 23 2020,74061,67695,0
United States,Jul 22 2020,72660,67141,0
United States,Jul 21 2020,63328,67091,0
United States,Jul 20 2020,59017,67330,0
United States,Jul 19 2020,59921,66976,0
United States,Jul 18 2020,67796,66937,0
United States,Jul 17 2020,77085,66985,0
United States,Jul 16 2020,70182,65768,0
United States,Jul 15 2020,72308,64644,0
United States,Jul 14 2020,65003,63655,0
United States,Jul 13 2020,56542,62377,0
United States,Jul 12 2020,59644,61616,0
United States,Jul 11 2020,68133,58870,0
United States,Jul 10 2020,68569,56222,0
United States,Jul  9 2020,62315,55039,0
United States,Jul  8 2020,65379,54081,0
United States,Jul  7 2020,56061,53276,0
United States,Jul  6 2020,51214,51922,0
United States,Jul  5 2020,40421,50121,0
United States,Jul  4 2020,49595,49746,0
United States,Jul  3 2020,60292,48892,0
United States,Jul  2 2020,55608,46929,0
United States,Jul  1 2020,59741,45701,0
United States,Jun 30 2020,46588,42514,0
United States,Jun 29 2020,38602,41275,0
United States,Jun 28 2020,37797,39860,0
United States,Jun 27 2020,43618,38365,0
United States,Jun 26 2020,46553,36896,0
United States,Jun 25 2020,47009,35004,0
United States,Jun 24 2020,37431,32397,0
United States,Jun 23 2020,37920,30707,0
United States,Jun 22 2020,28698,28851,0
United States,Jun 21 2020,27327,27692,0
United States,Jun 20 2020,33339,26734,0
United States,Jun 19 2020,33308,25687,0
United States,Jun 18 2020,28757,25035,0
United States,Jun 17 2020,25604,24168,0
United States,Jun 16 2020,24926,23722,0
United States,Jun 15 2020,20588,22818,0
United States,Jun 14 2020,20619,22453,0
United States,Jun 13 2020,26007,22048,0
United States,Jun 12 2020,28747,21700,0
United States,Jun 11 2020,22688,21083,0
United States,Jun 10 2020,22483,20800,0
United States,Jun  9 2020,18595,20604,0
United States,Jun  8 2020,18038,20909,0
United States,Jun  7 2020,17780,20812,0
United States,Jun  6 2020,23574,21302,0
United States,Jun  5 2020,24424,21321,0
United States,Jun  4 2020,20712,21197,0
United States,Jun  3 2020,21109,21695,0
United States,Jun  2 2020,20731,21589,0
United States,Jun  1 2020,17358,21049,0
United States,May 31 2020,21206,21305,0
United States,May 30 2020,23710,21385,0
United States,May 29 2020,23554,20995,0
United States,May 28 2020,24198,21348,0
United States,May 27 2020,20367,21538,0
United States,May 26 2020,16954,22127,0
United States,May 25 2020,19149,22660,0
United States,May 24 2020,21765,23452,0
United States,May 23 2020,20979,23089,0
United States,May 22 2020,26029,23707,0
United States,May 21 2020,25523,23862,0
United States,May 20 2020,24490,25149,0
United States,May 19 2020,20691,24185,0
United States,May 18 2020,24690,24695,0
United States,May 17 2020,19225,23925,0
United States,May 16 2020,25303,24271,0
United States,May 15 2020,27118,24366,0
United States,May 14 2020,34532,24499,0
United States,May 13 2020,17740,23939,0
United States,May 12 2020,24260,24877,0
United States,May 11 2020,19299,24727,0
United States,May 10 2020,21651,24995,0
United States,May  9 2020,25967,25880,0
United States,May  8 2020,28046,26227,0
United States,May  7 2020,30616,26538,0
United States,May  6 2020,24303,26796,0
United States,May  5 2020,23207,27211,0
United States,May  4 2020,21179,27251,0
United States,May  3 2020,27842,27685,0
United States,May  2 2020,28396,27598,0
United States,May  1 2020,30225,28309,0
United States,Apr 30 2020,32426,28867,0
United States,Apr 29 2020,27205,28949,0
United States,Apr 28 2020,23487,29553,0
United States,Apr 27 2020,24218,29834,0
United States,Apr 26 2020,27233,30062,0
United States,Apr 25 2020,33375,30155,0
United States,Apr 24 2020,34130,29330,0
United States,Apr 23 2020,32997,28708,0
United States,Apr 22 2020,31434,28540,0
United States,Apr 21 2020,25455,27675,0
United States,Apr 20 2020,25811,27636,0
United States,Apr 19 2020,27884,27511,0
United States,Apr 18 2020,27600,27499,0
United States,Apr 17 2020,29778,28157,0
United States,Apr 16 2020,31820,28463,0
United States,Apr 15 2020,25379,28915,0
United States,Apr 14 2020,25186,30101,0
United States,Apr 13 2020,24932,30821,0
United States,Apr 12 2020,27798,31343,0
United States,Apr 11 2020,32207,31297,0
United States,Apr 10 2020,31920,31338,0
United States,Apr  9 2020,34988,31326,0
United States,Apr  8 2020,33682,30620,0
United States,Apr  7 2020,30225,29858,0
United States,Apr  6 2020,28584,28868,0
United States,Apr  5 2020,27478,27046,0
United States,Apr  4 2020,32492,26883,0
United States,Apr  3 2020,31839,25189,0
United States,Apr  2 2020,30045,23503,0
United States,Apr  1 2020,28347,21893,0
United States,Mar 31 2020,23296,19866,0
United States,Mar 30 2020,15831,18160,0
United States,Mar 29 2020,26334,17431,0
United States,Mar 28 2020,20635,15221,0
United States,Mar 27 2020,20039,13590,0
United States,Mar 26 2020,18772,11790,0
United States,Mar 25 2020,14160,9990,0
United States,Mar 24 2020,11351,8668,0
United States,Mar 23 2020,10728,7507,0
United States,Mar 22 2020,10868,6310,0
United States,Mar 21 2020,9218,5072,0
United States,Mar 20 2020,7437,3931,0
United States,Mar 19 2020,6174,2998,0
United States,Mar 18 2020,4903,2223,0
United States,Mar 17 2020,3222,1596,0
United States,Mar 16 2020,2349,1206,0
United States,Mar 15 2020,2202,931,0
United States,Mar 14 2020,1231,646,0
United States,Mar 13 2020,911,493,0
United States,Mar 12 2020,748,380,0
United States,Mar 11 2020,514,285,0
United States,Mar 10 2020,493,221,0
United States,Mar  9 2020,420,159,0
United States,Mar  8 2020,209,105,0
United States,Mar  7 2020,160,77,0
United States,Mar  6 2020,121,56,0
United States,Mar  5 2020,78,39,0
United States,Mar  4 2020,67,29,0
United States,Mar  3 2020,64,20,0
United States,Mar  2 2020,36,12,0
United States,Mar  1 2020,18,7,0
United States,Feb 29 2020,9,4,0
United States,Feb 28 2020,4,4,0
United States,Feb 27 2020,5,4,0
United States,Feb 26 2020,8,4,0
United States,Feb 25 2020,4,3,0
United States,Feb 24 2020,4,3,0
United States,Feb 23 2020,0,3,0
United States,Feb 22 2020,6,3,0
United States,Feb 21 2020,5,2,0
United States,Feb 20 2020,1,1,0
United States,Feb 19 2020,3,1,0
United States,Feb 18 2020,5,1,0
United States,Feb 17 2020,2,0,0
United States,Feb 16 2020,0,0,0
United States,Feb 15 2020,0,0,0
United States,Feb 14 2020,0,0,0
United States,Feb 13 2020,1,0,0
United States,Feb 12 2020,1,0,0
United States,Feb 11 2020,0,0,0
United States,Feb 10 2020,0,0,0
United States,Feb  9 2020,0,0,0
United States,Feb  8 2020,0,1,0
United States,Feb  7 2020,1,1,0
United States,Feb  6 2020,0,1,0
United States,Feb  5 2020,0,1,0
United States,Feb  4 2020,0,1,0
United States,Feb  3 2020,3,1,0
United States,Feb  2 2020,3,0,0
United States,Feb  1 2020,1,0,0
United States,Jan 31 2020,1,0,0
United States,Jan 30 2020,0,0,0
United States,Jan 29 2020,0,0,0
United States,Jan 28 2020,0,0,0
United States,Jan 27 2020,0,0,0
United States,Jan 26 2020,1,0,0
United States,Jan 25 2020,0,0,0
United States,Jan 24 2020,1,0,0
United States,Jan 23 2020,1,0,0
